Término ;Definición
Activos financieros;Los activos financieros son instrumentos que representan dinero o que pueden convertirse en dinero en el futuro. Por ejemplo, dinero en una cuenta bancaria, un bono o una acción.
Agentes económicos;Los agentes económicos son aquellos individuos o grupos que toman decisiones. Por ejemplo, un agente económico puede ser un consumidor, un estudiante, un(a) ciudadano(a), una persona que trabaja o nosotros mismos. Los grupos pueden ser las empresas, un equipo de fútbol, el gobierno, entre muchos otros.
Agregados monetarios y crediticios;Los agregados monetarios y crediticios son el conjunto de activos financieros que cumplen las funciones del dinero en la economía, es decir, aquellos que sirven como medio de pago, unidad de cuenta y depósito de valor.
Ancla nominal;El ancla nominal, es una variable que se fija para guiar las expectativas de los agentes. Algunos ejemplos de anclas son el oro, la tasa de cambio, los agregados monetarios y la meta de inflación.
Base monetaria;El dinero que emite un banco central se denomina base monetaria. Cada vez que el banco central compra activos financieros o realiza otros pagos se produce la creación primaria de dinero.
Bonos públicos;Los bonos públicos son instrumentos de deuda emitidos por el Gobierno. En Colombia, los más conocidos son los TES (Títulos de Tesorería). Se negocian en el mercado financiero y tienen diferentes plazos y tasas de interés (fijas o variables).
Brecha del producto;"Se denomina como brecha del producto a la diferencia entre el nivel del producto interno bruto (PIB) observado y la estimación del nivel del PIB potencial tendencial de una economía; es decir, es la diferencia entre lo que la economía está produciendo y lo que produciría si llegara a operar a su capacidad máxima sin que esto pueda hacer que la inflación comience a subir rápidamente."
CDT;Un certificado de depósito a término (CDT) es un instrumento de inversión establecido mediante certificado, que permite invertir una cantidad de dinero en una entidad financiera por un plazo determinado, generalmente 30, 60, 90, 180 o 360 días.
DTF;La Tasa de Depósito a Término Fijo (DTF) es el promedio ponderado de las tasas efectivas de captación de los CDT a 90 días que reconocen los Bancos, corporaciones financieras y compañías de financiamiento a sus clientes y sirve como indicador de referencia relacionado con el costo del dinero en el tiempo.
Deuda pública;La deuda pública es el dinero que un gobierno pide prestado para financiar sus gastos cuando no le alcanza con lo que recauda (por ejemplo, a través de impuestos).
Garantía;La garantía es el compromiso o respaldo que se ofrece para asegurar el cumplimiento de una obligación.
Indexación;La indexación, también conocida como ajuste automático de precios, es un mecanismo mediante el cual se vincula la variación de los precios de bienes y servicios, salarios o el valor de activos, a la evolución de un índice específico, como el índice de precios al consumidor (IPC). Este tipo de ajustes suele surgir de manera espontánea en los contratos privados, donde los agentes económicos lo emplean como una herramienta para protegerse frente a períodos de inflación elevada e impredecible. Sin embargo, en otros casos, la indexación es resultado de disposiciones normativas establecidas en el marco de acuerdos o arreglos institucionales, reflejando así tanto dinámicas de mercado como decisiones regulatorias.
Indicador bancario de referencia (IBR);El indicador bancario de referencia (IBR) es una tasa de interés de referencia de corto plazo para el peso colombiano, que refleja el precio al que los agentes participantes en su esquema de formación (entidades bancarias) están dispuestos a ofrecer o a captar recursos en el mercado monetario (interbancario). En otras palabras, su objetivo es mostrar la liquidez del mercado monetario colombiano o, lo que es lo mismo, indicar el costo del dinero en pesos.
Índice de la tasa de cambio real (ITCR);El Índice de la tasa de cambio real (ITCR) se entiende como un precio relativo que compara el valor de una canasta de bienes en dos países diferentes, expresados en la misma moneda. Este dato se obtiene cuando se divide el precio de un grupo de bienes por el de ese mismo grupo en otro país. Esta medida refleja cual es el valor de la canasta en el extranjero  (numerador) respecto al valor de la misma canasta en Colombia (denominador).
Índice de precios al consumidor (IPC);El índice de precios al consumidor (IPC) es un indicador que sirve para medir la evolución de los precios de los bienes y servicios más representativos del gasto de consumo de los hogares en Colombia y nos aporta información para calcular el costo de vida en el país. Las variaciones positivas de este índice corresponden a la inflación al consumidor, mientras que la variación negativa se conoce como deflación.
Índice de precios de la vivienda nueva (IPVNBR);El índice de precios de la vivienda nueva (IPVNBR) mide la evolución mensual de los precios de la vivienda nueva en las tres principales ciudades de Colombia: Bogotá, Medellín, Cali y los municipios aledaños de Bogotá (Chía, Cota, Cajicá, Tabio, Tenjo, La Calera, Sopó, Guaymaral, Funza, Madrid, Mosquera, Facatativá, Soacha y Ciudad verde).
Inflación;La inflación al consumidor es el aumento generalizado y sostenido de los precios de los bienes y servicios más representativos del consumo de los hogares de un país. 
Liquidez;La liquidez se refiere a los fondos disponibles para realizar pagos inmediatos o, en otras palabras, mide la rapidez con la que un activo financiero puede convertirse en un medio de pago sin que pierda valor. Por tanto, en el contexto de las decisiones adoptadas, inyectar liquidez significa que el Banco de la República le suministra recursos a la economía por intermedio del sistema financiero para que pueda realizar transacciones de manera inmediata, con el fin de garantizar el correcto funcionamiento de los pagos de la economía, sostener la oferta de crédito y apoyar la reactivación económica.
Remesas;Las remesas comprenden las transferencias corrientes realizadas por los emigrantes a su país de origen, ya sea en dinero y/o en especie y hacen parte de las transferencias corrientes registradas en la Balanza de Pagos de Colombia.
Reservas internacionales;Según el Fondo Monetario Internacional (FMI), son los “activos externos que están disponibles de inmediato y bajo el control de las autoridades monetarias para satisfacer necesidades de financiamiento de la balanza de pagos, para intervenir en los mercados cambiarios a fin de influir sobre el tipo de cambio y para otros fines conexos (como el mantenimiento de la confianza en la moneda y la economía, y servir como base para el endeudamiento externo)”. Estos activos deben “ser líquidos, estar denominados y ser liquidados en monedas extranjeras convertibles”. Además, el control por parte de las autoridades monetarias sobre ellos debe ser directo y efectivo.
Superávit;La superávit es una situación en la que los ingresos de una entidad (por ejemplo, un fondo financiero, una empresa o el gobierno) superan sus gastos.
Unidad de valor real (UVR);La unidad de valor real (UVR) es certificada por el Banco de la República y refleja el poder adquisitivo con base en la variación del índice de precios al consumidor (IPC) durante el mes calendario inmediatamente anterior al mes del inicio del período de cálculo. La UVR es una unidad de cuenta usada para calcular el costo de los créditos de vivienda que le permite a las entidades financieras mantener el poder adquisitivo del dinero prestado.
